territory,indicator,dashboard_concept,year,value,unit,source,data_level,confidence,retrieved_date
Sabah,Clean water access,clean_water_access,2000,73.0,%,data.gov.my / OpenDOSM,state,high,2026-07-06
Sabah,Clean water access,clean_water_access,2001,72.9,%,data.gov.my / OpenDOSM,state,high,2026-07-06
Sabah,Clean water access,clean_water_access,2002,72.9,%,data.gov.my / OpenDOSM,state,high,2026-07-06
Sabah,Clean water access,clean_water_access,2003,73.9,%,data.gov.my / OpenDOSM,state,high,2026-07-06
Sabah,Clean water access,clean_water_access,2004,75.8,%,data.gov.my / OpenDOSM,state,high,2026-07-06
Sabah,Clean water access,clean_water_access,2005,75.5,%,data.gov.my / OpenDOSM,state,high,2026-07-06
Sabah,Clean water access,clean_water_access,2006,77.0,%,data.gov.my / OpenDOSM,state,high,2026-07-06
Sabah,Clean water access,clean_water_access,2007,76.0,%,data.gov.my / OpenDOSM,state,high,2026-07-06
Sabah,Clean water access,clean_water_access,2008,76.0,%,data.gov.my / OpenDOSM,state,high,2026-07-06
Sabah,Clean water access,clean_water_access,2009,76.3,%,data.gov.my / OpenDOSM,state,high,2026-07-06
Sabah,Clean water access,clean_water_access,2010,79.7,%,data.gov.my / OpenDOSM,state,high,2026-07-06
Sabah,Clean water access,clean_water_access,2011,80.0,%,data.gov.my / OpenDOSM,state,high,2026-07-06
Sabah,Clean water access,clean_water_access,2012,82.0,%,data.gov.my / OpenDOSM,state,high,2026-07-06
Sabah,Clean water access,clean_water_access,2013,86.0,%,data.gov.my / OpenDOSM,state,high,2026-07-06
Sabah,Clean water access,clean_water_access,2014,86.5,%,data.gov.my / OpenDOSM,state,high,2026-07-06
Sabah,Clean water access,clean_water_access,2015,87.9,%,data.gov.my / OpenDOSM,state,high,2026-07-06
Sabah,Clean water access,clean_water_access,2016,89.4,%,data.gov.my / OpenDOSM,state,high,2026-07-06
Sabah,Clean water access,clean_water_access,2017,89.0,%,data.gov.my / OpenDOSM,state,high,2026-07-06
Sabah,Clean water access,clean_water_access,2018,89.0,%,data.gov.my / OpenDOSM,state,high,2026-07-06
Sabah,Clean water access,clean_water_access,2019,89.0,%,data.gov.my / OpenDOSM,state,high,2026-07-06
Sabah,Clean water access,clean_water_access,2020,77.0,%,data.gov.my / OpenDOSM,state,high,2026-07-06
Sabah,Clean water access,clean_water_access,2021,78.0,%,data.gov.my / OpenDOSM,state,high,2026-07-06
Sabah,Clean water access,clean_water_access,2022,80.5,%,data.gov.my / OpenDOSM,state,high,2026-07-06
Sarawak,Clean water access,clean_water_access,2000,96.0,%,data.gov.my / OpenDOSM,state,high,2026-07-06
Sarawak,Clean water access,clean_water_access,2001,95.8,%,data.gov.my / OpenDOSM,state,high,2026-07-06
Sarawak,Clean water access,clean_water_access,2002,95.8,%,data.gov.my / OpenDOSM,state,high,2026-07-06
Sarawak,Clean water access,clean_water_access,2003,95.8,%,data.gov.my / OpenDOSM,state,high,2026-07-06
Sarawak,Clean water access,clean_water_access,2004,96.0,%,data.gov.my / OpenDOSM,state,high,2026-07-06
Sarawak,Clean water access,clean_water_access,2005,96.0,%,data.gov.my / OpenDOSM,state,high,2026-07-06
Sarawak,Clean water access,clean_water_access,2006,96.0,%,data.gov.my / OpenDOSM,state,high,2026-07-06
Sarawak,Clean water access,clean_water_access,2007,77.0,%,data.gov.my / OpenDOSM,state,high,2026-07-06
Sarawak,Clean water access,clean_water_access,2008,78.0,%,data.gov.my / OpenDOSM,state,high,2026-07-06
Sarawak,Clean water access,clean_water_access,2009,86.2,%,data.gov.my / OpenDOSM,state,high,2026-07-06
Sarawak,Clean water access,clean_water_access,2010,93.7,%,data.gov.my / OpenDOSM,state,high,2026-07-06
Sarawak,Clean water access,clean_water_access,2011,93.7,%,data.gov.my / OpenDOSM,state,high,2026-07-06
Sarawak,Clean water access,clean_water_access,2012,93.8,%,data.gov.my / OpenDOSM,state,high,2026-07-06
Sarawak,Clean water access,clean_water_access,2013,93.8,%,data.gov.my / OpenDOSM,state,high,2026-07-06
Sarawak,Clean water access,clean_water_access,2014,94.0,%,data.gov.my / OpenDOSM,state,high,2026-07-06
Sarawak,Clean water access,clean_water_access,2015,87.9,%,data.gov.my / OpenDOSM,state,high,2026-07-06
Sarawak,Clean water access,clean_water_access,2016,89.2,%,data.gov.my / OpenDOSM,state,high,2026-07-06
Sarawak,Clean water access,clean_water_access,2017,89.6,%,data.gov.my / OpenDOSM,state,high,2026-07-06
Sarawak,Clean water access,clean_water_access,2018,89.8,%,data.gov.my / OpenDOSM,state,high,2026-07-06
Sarawak,Clean water access,clean_water_access,2019,81.9,%,data.gov.my / OpenDOSM,state,high,2026-07-06
Sarawak,Clean water access,clean_water_access,2020,83.4,%,data.gov.my / OpenDOSM,state,high,2026-07-06
Sarawak,Clean water access,clean_water_access,2021,83.6,%,data.gov.my / OpenDOSM,state,high,2026-07-06
Sarawak,Clean water access,clean_water_access,2022,83.7,%,data.gov.my / OpenDOSM,state,high,2026-07-06
Sabah,Unemployment rate,unemployment_rate,2017,5.95,%,data.gov.my / OpenDOSM (annual avg of quarters),state,high,2026-07-06
Sabah,Unemployment rate,unemployment_rate,2018,5.95,%,data.gov.my / OpenDOSM (annual avg of quarters),state,high,2026-07-06
Sabah,Unemployment rate,unemployment_rate,2019,5.88,%,data.gov.my / OpenDOSM (annual avg of quarters),state,high,2026-07-06
Sabah,Unemployment rate,unemployment_rate,2020,8.2,%,data.gov.my / OpenDOSM (annual avg of quarters),state,high,2026-07-06
Sabah,Unemployment rate,unemployment_rate,2021,8.9,%,data.gov.my / OpenDOSM (annual avg of quarters),state,high,2026-07-06
Sabah,Unemployment rate,unemployment_rate,2022,8.5,%,data.gov.my / OpenDOSM (annual avg of quarters),state,high,2026-07-06
Sabah,Unemployment rate,unemployment_rate,2023,7.53,%,data.gov.my / OpenDOSM (annual avg of quarters),state,high,2026-07-06
Sabah,Unemployment rate,unemployment_rate,2024,7.55,%,data.gov.my / OpenDOSM (annual avg of quarters),state,high,2026-07-06
Sabah,Unemployment rate,unemployment_rate,2025,6.2,%,data.gov.my / OpenDOSM (annual avg of quarters),state,high,2026-07-06
Sarawak,Unemployment rate,unemployment_rate,2017,3.05,%,data.gov.my / OpenDOSM (annual avg of quarters),state,high,2026-07-06
Sarawak,Unemployment rate,unemployment_rate,2018,3.17,%,data.gov.my / OpenDOSM (annual avg of quarters),state,high,2026-07-06
Sarawak,Unemployment rate,unemployment_rate,2019,3.23,%,data.gov.my / OpenDOSM (annual avg of quarters),state,high,2026-07-06
Sarawak,Unemployment rate,unemployment_rate,2020,4.35,%,data.gov.my / OpenDOSM (annual avg of quarters),state,high,2026-07-06
Sarawak,Unemployment rate,unemployment_rate,2021,4.42,%,data.gov.my / OpenDOSM (annual avg of quarters),state,high,2026-07-06
Sarawak,Unemployment rate,unemployment_rate,2022,3.15,%,data.gov.my / OpenDOSM (annual avg of quarters),state,high,2026-07-06
Sarawak,Unemployment rate,unemployment_rate,2023,3.45,%,data.gov.my / OpenDOSM (annual avg of quarters),state,high,2026-07-06
Sarawak,Unemployment rate,unemployment_rate,2024,3.27,%,data.gov.my / OpenDOSM (annual avg of quarters),state,high,2026-07-06
Sarawak,Unemployment rate,unemployment_rate,2025,3.3,%,data.gov.my / OpenDOSM (annual avg of quarters),state,high,2026-07-06
Sabah,GDP growth,economy,2016,5.072,%,data.gov.my / OpenDOSM,state,high,2026-07-06
Sabah,GDP growth,economy,2017,8.095,%,data.gov.my / OpenDOSM,state,high,2026-07-06
Sabah,GDP growth,economy,2018,1.454,%,data.gov.my / OpenDOSM,state,high,2026-07-06
Sabah,GDP growth,economy,2019,0.741,%,data.gov.my / OpenDOSM,state,high,2026-07-06
Sabah,GDP growth,economy,2020,-9.11,%,data.gov.my / OpenDOSM,state,high,2026-07-06
Sabah,GDP growth,economy,2021,1.49,%,data.gov.my / OpenDOSM,state,high,2026-07-06
Sabah,GDP growth,economy,2022,3.932,%,data.gov.my / OpenDOSM,state,high,2026-07-06
Sabah,GDP growth,economy,2023,1.328,%,data.gov.my / OpenDOSM,state,high,2026-07-06
Sarawak,GDP growth,economy,2016,2.408,%,data.gov.my / OpenDOSM,state,high,2026-07-06
Sarawak,GDP growth,economy,2017,4.542,%,data.gov.my / OpenDOSM,state,high,2026-07-06
Sarawak,GDP growth,economy,2018,2.183,%,data.gov.my / OpenDOSM,state,high,2026-07-06
Sarawak,GDP growth,economy,2019,2.819,%,data.gov.my / OpenDOSM,state,high,2026-07-06
Sarawak,GDP growth,economy,2020,-6.729,%,data.gov.my / OpenDOSM,state,high,2026-07-06
Sarawak,GDP growth,economy,2021,3.165,%,data.gov.my / OpenDOSM,state,high,2026-07-06
Sarawak,GDP growth,economy,2022,6.919,%,data.gov.my / OpenDOSM,state,high,2026-07-06
